Bebida,Ingrediente1,Ingrediente2,Ingrediente3,Ingrediente4,Ingrediente5,Ingrediente6,Ingrediente7,Ingrediente8,Medida1,Medida2,Medida3,Medida4,Medida5,Medida6,Medida7,Medida8,linkImagen
Americano,Campari,Sweet Vermouth,Lemon peel,Orange peel,,,,,1 oz,1 oz red,Twist of,Twist of,,,,,https://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg
Angel Face,Apricot brandy,Apple brandy,Gin,,,,,,1/2 oz,1/2 oz,1 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg
Angelica Liqueur,3 tblsp chopped Angelica root,Almond,Allspice,Cinnamon,Anise,Coriander,Marjoram leaves,Vodka,,1 tblsp chopped,1 cracked,1 one-inch,3-6 crushed,1/8 tsp powdered,1 tblsp fresh chopped,1.5 cup,https://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg
Apello,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,4 cl,3 cl,1 cl,1,,,,,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg
Aperol Spritz,100 ml Aperol,150 ml Prosecco,Top Soda Water,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/iloasq1587661955.jpg
Apple Berry Smoothie,Berries,Apple,,,,,,,1 cup,2,,,,,,,https://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg
Apple Cider Punch #1,Apple cider,Brown sugar,Lemonade,Orange juice,Cloves,Allspice,Nutmeg,Cinnamon,4 qt,1 cup,6 oz frozen,6 oz frozen,6 whole,6 whole,1 tsp ground,3 sticks,https://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg
Apple Grande,Tequila,Apple cider,,,,,,,3 oz,12 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg
Apple Karate,Apple juice,Carrot,,,,,,,2 cups,1 large,,,,,,,https://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg
Apple Pie with A Crust,Apple juice,Malibu rum,Cinnamon,,,,,,3 parts,1 part,3 dashes,,,,,,https://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg
Apple Slammer,7-Up,Apple schnapps,,,,,,,1 part,1 part,,,,,,,https://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg
Applecar,Applejack,Triple sec,Lemon juice,,,,,,1 oz,1 oz,1 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg
Applejack,Jack Daniels,Midori melon liqueur,Sour mix,,,,,,1 oz,1/2 oz,2 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg
Apricot Lady,Light rum,Apricot brandy,Triple sec,Lemon juice,Egg white,Orange,,,1 1/2 oz,1 oz,1 tsp,1/2 oz,1,1,,,https://www.thecocktaildb.com/images/media/drink/7ityp11582579598.jpg
Apricot punch,Apricot brandy,Champagne,Vodka,7-Up,Orange juice,,,,1 qt,4 fifth,1 fifth,4 L,1/2 gal,,,,https://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg
Aquamarine,2 oz Hpnotiq,1 oz Pineapple Juice,1 oz Banana Liqueur,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/zvsre31572902738.jpg
Archbishop,Gin,Wine,Benedictine,Lime,,,,,2 oz,1 oz Green Ginger,1 tsp,1,,,,,https://www.thecocktaildb.com/images/media/drink/4g6xds1582579703.jpg
Arctic Fish,Vodka,Grape soda,Orange juice,Ice,Candy,,,,1/3 part,1/3 part,1/3 part,lots,1 dash,,,,https://www.thecocktaildb.com/images/media/drink/ttsvwy1472668781.jpg
Arctic Mouthwash,Maui,Mountain Dew,cubes Ice,,,,,,5 oz blue,5 oz,,,,,,,https://www.thecocktaildb.com/images/media/drink/wqstwv1478963735.jpg
Arise My Love,Champagne,Green Creme de Menthe,,,,,,,Chilled,1 tsp,,,,,,,https://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg
Arizona Antifreeze,Vodka,Midori melon liqueur,Sweet and sour,,,,,,1/3 oz,1/3 oz,1/3 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/dbtylp1493067262.jpg
